Datum      ,Ort      ,Von  ,Bis  ,Stunden,Issue              ,Task                                                                              ,Notizen
24-02-2021,Homeoffice,09:30,10:30,   01:00,-                 ,Kick-Off-Meeting und aufarbeiten und sammeln von Notizen                          ,Wichtig sind im Moment die Grobplanung und die Aufgabenstellung sowie die Projektinitialisierung sowie Methoden und Tools.
24-02-2021,Im Büro   ,11:30,12:30,   01:00,-                 ,Repository mit Tasks und KanBan Board aufsetzen                                   ,Gehostet auf codeberg.org und beinhaltet auch ein Projektboard.
24-02-2021,Im Büro   ,13:30,14:30,   01:00,3                 ,Repository füllen und Bericht anhand von Template erstellen                       ,
24-02-2021,Im Büro   ,13:40,15:00,   00:30,3                 ,Tasks erstellen und im Board organisieren                                         ,
24-02-2021,Im Büro   ,15:00,16:30,   01:30,3                 ,CI für die Repository im EnterpriseLab erstellenrstellen                          ,
24-02-2021,Im Büro   ,16:30,17:00,   00:30,3                 ,Docker-Installieren, container starten und ausprobieren                           ,
24-20-2020,Im Büro   ,18:00,18:30,   00:30,-                 ,Mail an die Projektteilnehmer bezüglich Issue-Tracker/Board/Repo/CI               ,
24-20-2020,Im Büro   ,18:30,19:30,   01:00,4  11             ,Meeting notes organisieren/aufarbeiten/vorbereiten in Anhang                      ,
24-02-2021,Im Büro   ,19:30,21:00,   01:30,3 6               ,Das erste Arbeitsjournal erstellen und in den Anhang einbinden                    ,
25-02-2021,Im Büro   ,14:00,14:30,   00:30,11 2              ,Reglement lesen und Notizen machen                                                ,
25-02-2021,Im Büro   ,14:30,15:30,   01:00,11 2              ,Erster Wurf für die Grobplanung / Definition der Meilensteine                     ,
25-02-2021,Im Büro   ,15:30,16:30,   01:00,20                ,Dokumentation der Projektorganisation                                             ,
25-02-2021,Im Büro   ,16:30,17:30,   01:00,11                ,Fragen notieren fürs Meeting / Projektdokumente sammeln                           ,
25-02-2021,Homeoffice,21:00,23:00,   02:00,7                 ,Bibliographie / Recherche Wissenschaftliches arbeiten / Lesen und Sammeln         ,
26-02-2021,Homeoffice,09:00,09:30,   00:30,11                ,Vorbereiten fürs Meeting                                                          ,Ich habe keinen Zugriff auf die aktuelle Version der Aufgabenstellung
26-02-2021,Homeoffice,09:30,10:30,   01:00,-                 ,Meeting                                                                           ,
26-02-2021,Homeoffice,10:30,11:00,   00:30,26                ,Meeting Notizen verarbeiten                                                       ,
26-02-2021,Homeoffice,12:30,13:00,   00:30,2                 ,Neue Issues erstellen und bestehende in Meilensteine Kategorisieren               ,
26-02-2021,Homeoffice,13:00,14:30,   01:30,18                ,Notizen machen zum Aufbau vom Bericht. Buch "Wissenschaftliches Arbeiten" Lesen   ,
26-02-2021,Homeoffice,15:00,15:30,   00:30,7                 ,Tools installieren / Bibliographie                                                ,
26-02-2021,Homeoffice,15:30,16:00,   00:30,26                ,Fragen zur Aufgabenstellung aufschreiben                                          ,
26-02-2021,Homeoffice,16:00,17:00,   01:00,18                ,Aufbau des Berichts anpassen / vorbereiten fürs nächste Meeting                   ,
26-02-2021,Homeoffice,17:30,18:00,   00:30,26                ,Aufarbeiten der Meeting Notes / vorbereiten fürs nächste Meeting                  ,
26-02-2021,Homeoffice,18:00,19:00,   01:00,30                ,Provisorische liste von Requirements erstellen                                    ,Bezgl. Requirements an den Teststand ist noch nicht viel bekannt
03-03-2021,Homeoffice,09:30,10:00,   00:30,-                 ,Meeting                                                                           ,
03-03-2021,Homeoffice,11:00,11:30,   00:30,-                 ,Meeting Notizen aufarbeiten                                                       ,
03-03-2021,Homeoffice,11:30,12:00,   00:30,30                ,Requirement-Engineering Methode beschreiben                                       ,
03-03-2021,Homeoffice,13:00,14:00,   01:00,7                 ,Lesen / Referenzen sammeln                                                        ,
03-03-2021,Homeoffice,14:00,14:30,   00:30,-                 ,Meeting Dieter                                                                    ,
03-03-2021,Homeoffice,15:00,16:00,   01:00,7                 ,Referenzen sammeln                                                                ,
03-03-2021,Homeoffice,16:00,16:30,   00:30,7                 ,Recherche Testnetz/Teststand / Repo Einrichten                                    ,
03-03-2021,Homeoffice,17:30,18:30,   01:00,30                ,Recherche Testnetz/ Lesen / Quellen sammeln über I2P                              ,
03-03-2021,Homeoffice,18:30,19:30,   01:00,32                ,Glossar hinzufügen                                                                ,
03-03-2021,Homeoffice,19:30,20:00,   00:30,-                 ,Meeting Notes vom 2. Meeting verarbeiten                                          ,
03-03-2021,Homeoffice,20:00,20:30,   00:30,-                 ,Google-Drive Share Folder einrichten mit/für Meeting Notes und erzeuge Dokumente  ,Ist dafür da zum einfachen teilen/Meetings/Dokumente welche nicht in das Source-Code-Repository gehören
03-03-2021,Homeoffice,20:30,21:30,   01:00,-                 ,Backlog Grooming / Formatierung im Bericht / Journal                              ,
04-03-2021,Homeoffice,11:00,12:00,   01:00,-                 ,Backlog Grooming / Issues erstellen                                               ,
04-03-2021,Homeoffice,14:30,15:30,   01:00,19 30 32          ,Aufgabenstellung Anhängen / Recherche Kanban / Glossar anpassen                   ,
04-03-2021,Homeoffice,15:30,16:30,   01:00,30 9              ,Kanban Projektmanagement-Methode beschreiben und begründen                        ,
04-03-2021,Homeoffice,17:00,17:30,   00:30,2 24              ,Planung / Resultate                                                               ,
04-03-2021,Homeoffice,17:30,18:30,   01:00,14                ,i2pd auf einem Raspberry PI aufsetzen                                             ,
04-03-2021,Homeoffice,19:00,20:00,   01:00,2 21              ,Grobplanung / Planung / Meilensteine beschreiben                                  ,
04-03-2021,Homeoffice,18:30,19:30,   01:00,33                ,Anforderungen an den Teststand erfassen und in den Bericht einbinden.             ,
04-03-2021,Homeoffice,20:00,22:00,   02:00,24                ,Resultate auflisten                                                               ,
04-03-2021,Homeoffice,22:00,23:00,   01:00,31                ,Aufwand schätzen für die Resultate                                                ,
05-03-2021,Homeoffice,09:30,10:00,   00:30,-                 ,Meeting                                                                           ,
05-03-2021,Homeoffice,10:00,12:00,   02:00,2 39              ,Wochentagplan                                                                     ,
05-03-2021,Homeoffice,13:00,13:30,   00:30,-                 ,Meeting-Notizen                                                                   ,
05-03-2021,Homeoffice,14:30,15:00,   00:30,21 22 2 33        ,Aufbau Kapital Projektmanagement / Planung / Anforderungen / Resultate            ,
05-03-2021,Homeoffice,15:00,16:30,   01:30,10                ,Aufbau Kapital Einleitung / Aufgabenstellung anhängen und referenzieren           ,
09-03-2021,Homeoffice,18:00,20:00,   02:00,14                ,i2pd und Tools mit Nix von Source kompilieren / Paketieren fürs PI                ,Wird benötigt für Eepsites
10-03-2021,Homeoffice,09:00,09:30,   00:30,-                 ,Meeting vorbereiten                                                               ,
10-03-2021,Homeoffice,09:30,10:00,   00:30,-                 ,Meeting                                                                           ,
10-03-2021,Homeoffice,10:00,10:30,   00:30,-                 ,Meeting Notizen                                                                   ,
10-03-2021,Homeoffice,12:00,13:00,   01:00,-                 ,Backlog-Grooming / Issues erstellen / Labels erstellen und zuordnen               ,
10-03-2021,Homeoffice,15:00,17:00,   02:00,37 33             ,Struktur Grobkonzept                                                              ,
11-03-2021,Homeoffice,15:00,16:00,   01:00,7                 ,Bibliographie / Glossar                                                           ,
11-03-2021,Homeoffice,17:00,20:00,   03:00,40 38             ,Recherche / Referenzen für Stand der Technik                                      ,
12-03-2021,Homeoffice,10:00,12:00,   02:00,37                ,Testkonzept                                                                       ,
13-03-2021,Homeoffice,10:00,12:00,   02:00,37                ,Erstellen des Netzkwerdiagrams für Testkonzept                                    ,
15-03-2021,Homeoffice,16:00,17:30,   01:30,29                ,Struktur Kapitel Methode / Beschreibung der Verwendeten Methode                   ,
15-03-2021,Homeoffice,18:30,22:30,   04:00,36 34 35          ,Beschreibung Testkonzept / Ideen und Konzepte                                     ,
15-03-2021,Homeoffice,09:30,11:30,   02:00,36                ,Beschreibung Testkonzept / Deployment                                             ,
18-03-2021,Homeoffice,09:30,11:30,   02:00,47                ,Konfiguration Eepsite                                                             ,
18-03-2021,Homeoffice,13:30,17:30,   04:00,46                ,Ausprobieren von I2Pd-Knoten in Containern                                        ,
18-03-2021,Homeoffice,17:30,18:30,   01:00,-                 ,Beschreibung Einleitung / Aufgabenstellung                                        ,
19-03-2021,Homeoffice,08:30,09:30,   01:00,-                 ,Meeting vorbereitung / Backlog-Grooming                                           ,
19-03-2021,Homeoffice,09:30,10:30,   01:00,-                 ,Meeting / Meeting Notizen aufarbeiten                                             ,
19-03-2021,Homeoffice,10:30,12:00,   01:30,-                 ,Teststand aufbauen / i2p Konfiguration studieren                                  ,
19-03-2021,Homeoffice,13:00,14:00,   01:00,49                ,Teststand aufbauen / Deployment mit VirtualBox                                    ,
19-03-2021,Homeoffice,14:00,17:00,   03:00,49                ,Teststand aufbauen / Deployment Versuche / Paketieren von i2pd                    ,
19-03-2021,Homeoffice,17:00,19:00,   02:00,50                ,Teststand aufbauen / Erstellen der Konfiguration                                  ,
24-03-2021,Homeoffice,09:30,10:30,   01:00,-                 ,Meeting / Meeting Notizen aufarbeiten                                             ,
24-03-2021,Homeoffice,10:30,12:00,   01:30,-                 ,Paketieren von i2p-tools für den Teststand (reseed)                               ,
24-03-2021,Homeoffice,13:00,15:30,   02:30,-                 ,Teststand aufbauen / Konfiguration eines einzelnen Knotens                        ,
24-03-2021,Homeoffice,15:00,17:30,   02:00,-                 ,Teststand aufbauen / Verschiedene Deploymentstrategien (AWS/Virtualbox)           ,
25-03-2021,Büro      ,09:30,12:00,   02:30,50 48             ,Teststand Konfiguration von Anzahl Knoten pro Testlauf                            ,
25-03-2021,Büro      ,13:00,15:00,   02:00,50 48             ,Teststand Konfiguration von Anzahl Knoten /                                       ,
25-03-2021,Büro      ,15:00,18:30,   03:30,51                ,i2p-tools paketieren / Reseeder Knoten erstellen                                  ,
25-03-2021,Homeoffice,22:00,23:00,   00:30,-                 ,Meeting Vorbereitung                                                              ,
25-03-2021,Büro      ,09:30,10:30,   01:00,-                 ,Meeting / Notizen                                                                 ,
25-03-2021,Büro      ,10:30,12:00,   01:30,52                ,Softwarepakete konfigurieren / Stabile und kompatible Pakete auswählen            ,
25-03-2021,Büro      ,13:00,18:30,   05:30,52                ,Netzwerkkonfiguration und Isolierung der Knoten                                   ,Mühsam IPv4 zu konfigurieren / Netzwerkkonfiguration von Containern nicht gut unterstützt
28-03-2021,Homeoffice,17:00,19:00,   02:00,40 38             ,Stand der Technik / Beschreibung Tunnels / Anonymitäts-Trilemma                   ,
28-03-2021,Homeoffice,19:00,21:00,   02:00,59                ,Kapitel Einleitung überarbeiten / Besser an Aufgabenstellung anpassen             ,
28-03-2021,Homeoffice,21:00,22:00,   01:00,37                ,Anforderungen / Testkonzept überarbeiten                                          ,
31-03-2021,Büro      ,10:30,12:00,   01:30,52                ,Container-Netzwerkkonfiguration                                                   ,Klappt nicht mit IPv6/IPv4 / Immer falsche Netzwerkmaske mit NixOS/nspawn containern
31-03-2021,Büro      ,13:00,13:30,   00:30,-                 ,Meeting vorbereitung                                                              ,
31-03-2021,Büro      ,13:30,14:30,   01:00,-                 ,Meeting                                                                           ,
31-03-2021,Büro      ,15:00,18:30,   03:30,52                ,Container-Netzwerkkonfiguration / Ausschau nach alternativer Container-Technologie,Kubernetes? docker-compose?
01-04-2021,Büro      ,10:30,12:00,   01:30,52                ,Container-Netzwerkkonfiguration / weitere Versuche                                ,
01-04-2021,Büro      ,13:00,17:00,   04:00,52                ,Container-Netzwerkkonfiguration / Ausschau nach alternativer Container-Technologie,
07-04-2021,Büro      ,09:00,10:00,   01:00,-                 ,Pinning einer Nixpkgs Version für Reproduzierbarkeit                              ,
07-04-2021,Büro      ,10:00,11:30,   01:30,52                ,Korrektur des NixOS-Container-Moduls bezüglich Routen                             ,
07-04-2021,Büro      ,12:30,16:00,   03:30,52                ,Korrektur des NixOS-Container-Moduls bezüglich Addressen / Routen / Nezwerkmaske  ,Die Container können nun endlich miteinander kommunizieren. Aber Nix braucht aber enorme Mengen an RAM für die Erstellung der Container-Konfigurationen (bevor dem deployment!). Dies ist nicht skalierbar auf mehr als ca. 30 Container. Ein anderer Lösungsansatz muss her.
07-04-2021,Büro      ,16:00,18:30,   02:30,36 48             ,Grundsätzliche Umstellung von NixOS-Container nach docker-compose                 ,Keine Erfahrung mit Kubernetes / wahrscheinlich too much
08-04-2021,Büro      ,09:30,11:30,   02:00,49 50 48 36       ,Skript zum automatischen Auf- und Abbau des docker-compose Netzwerks              ,
08-04-2021,Büro      ,12:00,16:00,   04:00,51                ,Netzwerkbootstrapping / Reseeder mit Router Infos von Knoten initialisieren       ,
08-04-2021,Büro      ,16:00,17:00,   01:00,51                ,Erstellung einer eigenen Docker-Container für den Reseeder                        ,
08-04-2021,Büro      ,17:00,18:30,   01:30,51                ,Erstellung einer eigenen Docker-Container für den I2Pd-Knoten                     ,
09-04-2021,Büro      ,09:30,11:30,   02:00,51                ,Problembehebung HTTPS-Verbindung mit Reseed-Server / Zertifikathandhabung         ,Erstes erfolgreiches Bootstrapping mit eigenem Reseed Server im Testnetzwerk!
09-04-2021,Büro      ,12:30,16:00,   03:30,51                ,Beschreibung und Diagram über den Bootstrapping-Vorgang                           ,
09-04-2021,Büro      ,16:00,17:30,   01:30,40                ,Einleitung / Stand der Technik                                                    ,
14-04-2021,Büro      ,13:30,14:30,   01:00,46                ,Umstrukturierung der Repo / entfernen von NixOS-Container                         ,
14-04-2021,Büro      ,14:30,16:00,   02:00,35                ,Überlegungen und erste Versuche für Testnachrichten im Netzwerk                   ,
14-04-2021,Büro      ,16:00,17:00,   01:00,-                 ,Meeting                                                                           ,
14-04-2021,Büro      ,17:00,19:30,   02:30,57                ,Beginn implementation eines TCP clients mit Socks5-Support                        ,Socks5-Proxy-Support benötigt um TCP-Nachrichten über das I2P-Overlay-Netzwerk zu verschicken
14-04-2021,Büro      ,19:30,20:30,   01:00,35 47 56          ,Beginn Implementation Servers der Latenz von Nachrichten misst und loggt          ,Benötigt wenn Knoten mehrere Verbindungen annehmen will
15-04-2021,Büro      ,10:30,13:00,   01:30,56                ,Implementation des Servers der Latenz von Nachrichten misst und loggt             ,
15-04-2021,Büro      ,13:30,15:00,   01:30,56                ,Implementation des Servers der Latenz von Nachrichten misst und loggt             ,
16-04-2021,Büro      ,10:30,12:30,   01:30,56                ,Erste Implementation Servers der Latenz von Nachrichten misst und loggt           ,
16-04-2021,Büro      ,13:00,16:30,   03:30,56                ,Erste Implementation Servers der Latenz von Nachrichten misst und loggt           ,
16-04-2021,Büro      ,19:00,20:30,   01:30,52                ,Debugging wieso Knoten im privaten Netzwerk nicht kommunizieren können            ,Private Adressen werden nicht angenommen von i2pd um Tunnels aufzubauen
18-04-2021,Homeoffice,14:00,17:00,   03:00,52                ,Abändern von i2pd das private Adressen zugelassen werden / weiteres Debugging     ,
18-04-2021,Homeoffice,18:00,23:00,   05:00,52 48             ,Debugging / diverse versuche mit docker-compose Netzwerkkonfiguration             ,Knoten können nicht miteinander reden. Es scheint das docker-compose --scale ist broken dies bezüglich.
19-04-2021,Homeoffice,12:00,18:00,   06:00,23                ,Zusammenstellen der Zwischenpräsentation                                          ,
20-04-2021,Homeoffice,22:00,24:00,   02:00,23                ,Fertigstellung der Zwischenpräsentation                                           ,
21-04-2021,Büro      ,10:30,11:30,   01:00,-                 ,Aufbereiten Meeting Notes                                                         ,
21-04-2021,Büro      ,12:00,13:00,   01:00,39                ,Aufbereiten Meeting Notes / Planung                                               ,
21-04-2021,Büro      ,13:00,14:00,   01:00,-                 ,Vorbereitung Präsentation                                                         ,
21-04-2021,Büro      ,14:00,15:00,   01:00,-                 ,Zwischenpräsentation                                                              ,
21-04-2021,Büro      ,15:00,18:30,   03:30,52 49 50 48       ,Generieren von docker-compose Konfigurationen für i2pd / Tests                    ,Zum Lösen der Netzwerkkonfigurationsprobleme
22-04-2021,Büro      ,10:30,11:30,   01:00,48                ,Fertigstellung der generierten docker-compose Konfigurationen für i2pd            ,
22-04-2021,Büro      ,12:00,14:00,   02:00,52                ,Erstellen von Netzwerktests / lösen der Netzwerkkonfigurationsprobleme            ,
22-04-2021,Büro      ,14:00,15:00,   01:00,52                ,Erste Kommunikation über das private I2P-Overlaynetzwerk / Erstellen eines Tests  ,
22-04-2021,Büro      ,15:00,16:30,   01:30,56 57             ,TCP client und server implementation / hinzufügen zum i2pd-Container              ,
23-04-2021,Büro      ,12:30,14:30,   02:00,-                 ,Backlog-Grooming / Planung                                                        ,
23-04-2021,Büro      ,14:30,15:30,   01:00,-                 ,Beschreibung Realisierung / Netzwerkprobleme / Boostrapping                       ,
23-04-2021,Büro      ,15:30,18:30,   03:00,-                 ,Erstellung Architekturdiagramm                                                    ,
28-04-2021,Büro      ,11:00,12:00,   01:00,-                 ,Architekturdiagramm                                                               ,
28-04-2021,Büro      ,13:00,15:30,   01:30,-                 ,Architekturdiagramm Beschreibung Realisierung                                     ,
28-04-2021,Büro      ,15:30,16:30,   01:00,-                 ,Meeting                                                                           ,
28-04-2021,Büro      ,16:30,18:00,   01:30,-                 ,Architekturdiagramm / Beschreibung Architektur                                    ,
29-04-2021,Büro      ,10:00,11:30,   01:30,-                 ,Beschreibung Client / Server-Tunnels                                              ,
29-04-2021,Büro      ,12:30,18:00,   05:30,-                 ,Beschreibung I2P Stand der Technik / NetDb                                        ,
30-04-2021,Büro      ,10:30,11:30,   01:30,-                 ,Beschreibung I2P Stand der Technik / Router Info / Lease Sets                     ,
30-04-2021,Büro      ,11:30,16:00,   03:30,-                 ,Beschreibung I2P Stand der Technik / LeaseSets / Tunnels                          ,
